,bts_id,lat,lon,comuna
113,CNCOS,-33.4131,-70.7596,CERRO NAVIA
114,CIENF,-33.4422,-70.6625,SANTIAGO
115,DIPAF,-33.4424,-70.6408,SANTIAGO
116,MCAR1,-33.4534,-70.6348,SANTIAGO
117,REFUF,-33.4278,-70.7706,PUDAHUEL
118,CNTC1,-33.4515,-70.6854,ESTACIÓN CENTRAL
119,GRCC1,-33.4574,-70.6258,ÑUÑOA
120,INTER,-33.4896,-70.7505,MAIPÚ
121,JPAG1,-33.4876,-70.602,MACUL
122,LHUEF,-33.5913,-70.6633,LA PINTANA
123,LRJG1,-33.4558,-70.69800000000001,ESTACIÓN CENTRAL
124,MALLS,-33.61,-70.87,PEÑAFLOR
125,MANPA,-33.4294,-70.6454,RECOLETA
126,MELSF,-33.6818,-71.202,MELIPILLA
127,MENPF,-33.6837,-71.2256,MELIPILLA
128,MHUIF,-33.4428,-70.5257,LA REINA
129,MRCHN,-33.4525,-70.6087,ÑUÑOA
130,NEPTF,-33.4443,-70.7295,LO PRADO
131,NTSUF,-33.4318,-70.6603,SANTIAGO
132,NVMXF,-33.5926,-70.5594,PUENTE ALTO
133,PGALF,-33.4383,-70.5574,LA REINA
134,PJRC1,-33.4803,-70.7506,MAIPÚ
135,PPCCF,-33.3895,-70.615,HUECHURABA
136,PPONF,-33.6211,-70.5836,PUENTE ALTO
137,QVBMF,-33.5567,-70.616,LA PINTANA
138,RDIAF,-33.4533,-70.6151,ÑUÑOA
139,RMAPF,-33.5052,-70.7872,MAIPÚ
140,SACAM,-33.6001,-70.6826,SAN BERNARDO
141,SBNC1,-33.5917,-70.7061,SAN BERNARDO
142,VDJUL,-33.4517,-70.6313,SANTIAGO
143,MAOUT,-33.4626,-70.6613,SANTIAGO
144,HDIRE,-33.4211,-70.7592,CERRO NAVIA
145,RUT57,-33.272,-70.7014,COLINA
146,POESF,-33.5179,-70.7165,CERRILLOS
147,SALAL,-33.3804,-70.6224,HUECHURABA
148,TISNF,-33.5002,-70.5789,PEÑALOLÉN
149,IVAVE,-33.436,-70.6436,SANTIAGO
