,bts_id,lat,lon
163,ABARF,-33.4377,-70.6605
164,CATC2,-33.4071,-70.681
165,LAMEF,-33.3569,-70.7274
166,MVLTR,-33.3573,-70.541
167,STRAN,-33.4906,-70.738
168,GRABF,-33.4835,-70.5289
169,LESPF,-33.4764,-70.5983
170,TEJED,-33.4541,-70.5406
171,MQHF2,-33.398,-70.5727
172,SANNU,-33.4998,-70.6535
173,VBUSF,-33.5072,-70.6452
174,ABMOF,-33.4556,-70.6727
175,ERRER,-33.4447,-70.6024
176,MFAR3,-33.4034,-70.5584
177,MRINF,-33.4468,-70.6397
178,CEMOR,-33.44,-70.6534
179,PBRAS,-33.4398,-70.6646
180,REYES,-33.4426,-70.6717
181,HOYTF,-33.4405,-70.6482
182,FUTFF,-33.4063,-70.7357
183,NOSC2,-33.642,-70.7112
184,NUBLF,-33.4654,-70.6258
185,NVSMT,-33.4406,-70.6586
186,OBIF2,-33.4033,-70.5957
187,OBRAF,-33.5911,-70.4961
188,PALIC,-33.5183,-70.5686
189,MOBF2,-33.4421,-70.652
190,SDGG1,-33.4548,-70.6497
191,SPAAM,-33.4347,-70.6569
192,TABC1,-33.3837,-70.5332
193,EGAC1,-33.4611,-70.5715
194,PCENT,-33.5668,-70.7883
195,JDCEF,-33.4584,-70.5997
196,BEAUF,-33.4708,-70.6646
197,EULSA,-33.4406,-70.6353
198,PHSUF,-33.5773,-70.8237
199,CAFAF,-33.5198,-70.7412
200,PLMOF,-33.6488,-70.6675
201,MORRF,-33.5896,-70.6802
202,JORBE,-33.4561,-70.5821
203,CSTG1,-33.54,-70.6657
204,GOYEN,-33.4236,-70.5958
205,ABZC2,-33.544000000000004,-70.7779
206,ASURA,-33.525,-70.7721
207,PQDEF,-33.5683,-70.553
208,PQSAF,-33.6477,-70.6032
209,POMAC,-33.6518,-71.1532
210,JJPG1,-33.4319,-70.7417
211,TPLG1,-33.5258,-70.7614
212,BRSC1,-33.434,-70.6773
213,SIBC1,-33.4483,-70.6338
214,ARRIF,-33.4629,-70.5509
215,COPER,-33.5531,-70.5625
216,DHCPF,-33.3415,-70.4993
217,MAZUF,-33.5102,-70.5955
218,OCMAM,-33.4407,-70.615
219,CARCA,-33.4201,-70.7095
220,COLIN,-33.1976,-70.6762
221,CARCU,-33.446,-70.6428
222,ESCBE,-33.3883,-70.5955
223,LASPU,-33.4661,-70.5991
224,LCASF,-33.4002,-70.5918
225,CAPG1,-33.4104,-70.5715
226,EMONU,-33.507,-70.605
227,CURZF,-33.4419,-70.53399999999999
228,CSPG1,-33.3831,-70.586
229,CMELF,-33.5377,-70.7696
230,COBRE,-33.3864,-70.5674
231,LCFLO,-33.3717,-70.5117
232,CSANF,-33.5632,-70.6031
233,AANAU,-33.5782,-70.7742
234,ALVIF,-33.5341,-70.6561
235,CREJF,-33.4583,-70.7068
